=== Basic System Information ===
User        : sveda
Hostname    : AcerNitroV
IP Address  : 192.168.1.234
OS          : Windows 11
Directory   : c:\Users\sveda\Desktop\SecurityAutomationTools\security-automation-tools

=== Running Processes ===

Image Name                     PID Session Name        Session#    Mem Usage
NVIDIA Web Helper.exe        12508 Console                    1     11,800 K
conhost.exe                  13120 Console                    1      1,112 K
RtkAudUService64.exe         13252 Console                    1      7,000 K
svchost.exe                   3284 Services                   0      6,364 K
svchost.exe                   5220 Services                   0      8,284 K
svchost.exe                   4180 Console                    1     22,128 K
NgcIso.exe                   11040 Services                   0      2,972 K
PLANET9DAHelper.exe          13396 Console                    1      8,864 K
BraveCrashHandler.exe        13996 Services                   0      1,816 K
BraveCrashHandler64.exe      14276 Services                   0      1,052 K
AQAUserPS.exe                11536 Console                    1     24,728 K
StartMenuExperienceHost.e    10604 Console                    1     91,468 K
SearchHost.exe               13636 Console                    1     73,040 K
Widgets.exe                  13848 Console                    1     54,232 K
svchost.exe                  14572 Services                   0      5,960 K
RuntimeBroker.exe            14628 Console                    1     24,932 K
WidgetService.exe            14648 Console                    1     18,844 K
svchost.exe                  14656 Console                    1      8,532 K
RuntimeBroker.exe            14732 Console                    1     26,504 K
AcerHardwareService.exe      14772 Console                    1     11,244 K
unsecapp.exe                 15424 Console                    1      4,616 K
svchost.exe                  15824 Services                   0      8,984 K
msedgewebview2.exe           16624 Console                    1     71,308 K
SearchIndexer.exe            16636 Services                   0     25,152 K
msedgewebview2.exe           16748 Console                    1      3,972 K
mc-neo-host.exe              16960 Services                   0     15,316 K
msedgewebview2.exe           16596 Console                    1     27,776 K
msedgewebview2.exe           15876 Console                    1     43,152 K
msedgewebview2.exe           16456 Console                    1     11,580 K
msedgewebview2.exe           17236 Console                    1     78,452 K
ctfmon.exe                   17472 Console                    1     32,232 K
svchost.exe                  18084 Services                   0     17,036 K
ACCUserPS.exe                12688 Console                    1      8,088 K
svchost.exe                   7952 Services                   0     22,356 K
svchost.exe                  11592 Services                   0      8,136 K
svchost.exe                   6056 Services                   0     14,180 K
svchost.exe                  17780 Services                   0     16,372 K
PhoneExperienceHost.exe      13076 Console                    1     86,944 K
nvsphelper64.exe             19244 Console                    1      7,012 K
NVIDIA Share.exe             19264 Console                    1     53,324 K
NVIDIA Share.exe             18760 Console                    1     32,132 K
NVIDIA Share.exe              4152 Console                    1     55,684 K
SecurityHealthSystray.exe    17992 Console                    1      6,904 K
SecurityHealthService.exe     5088 Services                   0     17,952 K
ADESv2BW.exe                 18876 Services                   0      7,016 K
RtkAudUService64.exe         11324 Console                    1     10,712 K
svchost.exe                  18712 Console                    1     16,852 K
vgtray.exe                   19568 Console                    1      8,344 K
OneDrive.exe                 19608 Console                    1    133,236 K
NitroSense.exe               19828 Console                    1     90,592 K
NitroSense.exe               20276 Console                    1     45,880 K
NitroSense.exe               20340 Console                    1     38,304 K
NitroSense.exe               12500 Console                    1    111,492 K
dllhost.exe                  20520 Console                    1      5,796 K
WhatsApp.exe                 20900 Console                    1     14,444 K
RiotClientServices.exe       21156 Console                    1    277,432 K
RiotClientCrashHandler.ex    21036 Console                    1      3,444 K
RuntimeBroker.exe            21236 Console                    1     16,808 K
FileSyncHelper.exe            2108 Services                   0     17,852 K
QuickPanel.exe               21900 Console                    1     61,248 K
QuickPanel.exe               22068 Console                    1     22,052 K
QuickPanelOSD.exe            22264 Console                    1     78,476 K
QuickPanel.exe               22120 Console                    1     31,484 K
CefSharp.BrowserSubproces    21836 Console                    1     23,732 K
CefSharp.BrowserSubproces    22076 Console                    1     26,476 K
CefSharp.BrowserSubproces    21612 Console                    1     20,492 K
CefSharp.BrowserSubproces     3120 Console                    1     15,632 K
CefSharp.BrowserSubproces     3744 Console                    1     63,416 K
svchost.exe                  22764 Services                   0     10,252 K
